Task_name,Participant #,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
Zero-Back Task,subject005,-6,6,8,2,3,7,3,7,10,10,2,7,6,3,8,7,3,0.092938821,-0.060981931,-0.389395513,-0.66009,0.86689,0.18988,0.22762
One-Back Task,subject005,-8,7,7.2,8,6,6,6,9,2.4,4,1,7,8,10,3.7,5,7,-0.009918255,-0.030028992,-0.537272264,0.6963,-0.00142,0.25031,-0.18186
One-Back Task,subject005,6,9,10,7,2,6.7,2,8,6,2,5,7,3,2,4.9,3.8,3.7,-0.009918255,-0.030028992,-0.537272264,-0.50183,0.20706,-0.00924,0.08774
One-Back Task,subject005,7,2,6,3,4,4,5,2,4,4,6,10,8,9,8,3.9,9,-0.009918255,-0.030028992,-0.537272264,0.25249,0.50317,-0.73134,1.33719
Hard Math Task,subject008,-13,9.1,1,10,1,1,1,1.4,3,9,1.3,9,3.1,1.3,5.1,1,7.9,-0.275798122,0.402380589,-0.407389088,0.96604,-1.07374,-1.88966,-1.08846
Hard Math Task,subject008,9,8.9,1,10,1,1,1,1.9,2.9,8.5,2,7.8,4.5,1,5.1,1.3,7.6,-0.275798122,0.402380589,-0.407389088,0.94566,-0.93787,-1.89806,-0.92575
Hard Math Task,subject008,7,9.5,1,10,1,1,4.1,3.4,1.8,8.7,1,8.2,5.9,1,5.2,1,8.9,-0.275798122,0.402380589,-0.407389088,1.33969,-1.19859,-1.47244,-0.71036
Easy Math Task,subject008,7,6.3,1,10,1,1,2.2,1,2,8.3,1,2.1,8.1,1,5,1,9,-0.124954138,0.332221971,-0.020870498,0.60898,-0.89598,-1.84801,-0.65304
Easy Math Task,subject008,-9,7.8,1,10,1,1,2.4,3.3,3,10,1,3,7.8,1,5,1,8.9,-0.124954138,0.332221971,-0.020870498,0.82101,-0.81642,-1.5233,-1.02298
Easy Math Task,subject008,11,2,1,10,1,1,2,3,7.2,8,1,1,3,1,5,1,8.1,-0.124954138,0.332221971,-0.020870498,-0.74524,-0.48711,-1.3761,-1.24307
One-Back Task,subject008,8,8.7,1,7,1,1,10,7.3,7.7,7,5,8.2,2,10,3.8,1,8.2,-0.009918255,-0.030028992,-0.537272264,0.23078,0.43509,-0.55413,-1.01708
One-Back Task,subject008,11,4.6,1,8.9,4.2,1,8,8.2,7,7.9,3,8.2,5.3,8.8,5.1,1,8.6,-0.009918255,-0.030028992,-0.537272264,0.62572,0.03247,-0.44175,-0.98387
One-Back Task,subject008,11,6.8,1,9,6.5,1,9,9.1,8.1,7.8,2,3.6,3,9.4,5.1,1,8.9,-0.009918255,-0.030028992,-0.537272264,0.15046,0.10267,0.13749,-1.50624
Zero-Back Task,subject008,15,5,1,7,1,1,6.6,2.1,8.1,6.2,1.7,3.1,3,5,5,1,2,0.092938821,-0.060981931,-0.389395513,-1.02432,0.06506,-1.58414,-0.54106
Zero-Back Task,subject008,11,2,1,7.6,1.8,1,8.8,7.1,7.5,7,1.6,2,2.3,4.1,5,1,8.6,0.092938821,-0.060981931,-0.389395513,-0.88512,-0.31323,-0.23399,-0.85352
Zero-Back Task,subject008,-14,8,1,6,1,1,9.1,2.5,8.3,3.9,1,1,2.1,3.9,5,4.1,9.1,0.092938821,-0.060981931,-0.389395513,-0.7078,-0.09644,-0.74154,-0.26425
Finger Tapping Task,subject008,9,7.3,2,1.8,1,1,10,4.3,2,3,1,1,1,5.8,5.1,1.9,1.7,-0.090963574,-0.241336366,-0.170440839,-1.5019,-0.73027,-0.65146,0.43984
Finger Tapping Task,subject008,7,8.7,1,3,1,1,10,7.7,5,3,2,1,3.2,9.2,5,1,7,-0.090963574,-0.241336366,-0.170440839,-0.67429,-0.18686,-0.29897,0.01077
Finger Tapping Task,subject008,-15,9,1,9.8,1,1,10,8.9,1.9,4,2.9,1,1.9,8.9,5,1,9,-0.090963574,-0.241336366,-0.170440839,0.09666,-0.22281,-0.58605,-0.51829
GoNoGo Task,subject008,12,6,1,7.4,1,1,8.6,5.1,8.5,8.2,8,5.2,2,4.5,3,1,2,-0.31702636,0.036362577,-0.159410417,-0.92558,0.72902,-1.06425,-1.14157
GoNoGo Task,subject008,9,8.5,1,3.4,1,1,10,2.3,8,8,2.9,3.5,1.8,3.6,6.1,1,8,-0.31702636,0.036362577,-0.159410417,-0.65418,-0.09577,-0.57681,-0.34473
GoNoGo Task,subject008,-7,8,1,8,1,1,10,5.3,3,4,1.4,1,2.4,3.6,6,1,2,-0.31702636,0.036362577,-0.159410417,-0.70796,-0.53981,-1.14724,0.10568
You Task,subject008,-5,8.1,7,2,9.1,1,1.9,9,1,1,3.2,8.2,8,3,5,10,8,-0.068702623,0.051618542,0.14160951,0.6842,-1.07075,0.88688,0.50129
You Task,subject008,-10,8.5,7.3,1.6,7.8,1,2.6,10,1,1.3,5.5,8.6,7.8,4,3.3,3,7.9,-0.068702623,0.051618542,0.14160951,0.51573,-1.26031,1.00147,-0.04745
You Task,subject008,11,7.3,7.2,4.2,10,1,4,9.3,2,2,5,9,8.6,5.4,7.5,10,8.4,-0.068702623,0.051618542,0.14160951,1.06659,-0.31624,0.77099,0.82758
Friend Task,subject008,14,9.5,10,1,10,1,2.6,10,1,1,1,10,9,6.6,10,6.2,10,0.066229557,0.061472443,0.208842324,1.3426,-1.2196,1.30102,1.31314
Friend Task,subject008,-15,10,7.6,1,10,1,3.9,10,1,1,1,10,10,6.6,10,6,10,0.066229557,0.061472443,0.208842324,1.59154,-1.21506,1.05452,1.44994
Friend Task,subject008,10,10,8.1,1.6,10,1,6.7,10,1,1,1,10,10,7.1,10,6,10,0.066229557,0.061472443,0.208842324,1.58989,-1.10457,1.24013,1.56095
Movie Task-incept,subject008,-14,3.4,10,1,10,8,10,3,5.3,1,3,8.8,2.7,5.3,5,1,1.9,-0.293453447,0.376771714,0.156545561,-1.45257,-0.34309,1.08977,0.86311
Movie Task-incept,subject008,-14,3.4,10,1,10,8,10,3,5.3,1,3,8.8,2.7,5.3,5,1,1.9,-0.293453447,0.376771714,0.156545561,-1.45257,-0.34309,1.08977,0.86311
