Task_name,Participant#,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient1,Gradient2,Gradient3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
Two-Back Task-faces,subject024,13,1.8,1,1,1,1,2.80000000000001,1,2.60000000000002,1,1.4,6.1,1.5,1,4.1,1,1,-.025340712,.386745896,-.434225517,-1.11523829601963,-1.30090748899266,-1.68563045131814,-1.07670491580222
Two-Back Task-scenes,subject024,7,1.4,3.6,1,1,1,7.30000000000001,10,1,1,2.20000000000001,4.90000000000001,1,1,7.69999999999999,3.7,8.50000000000001,-.130999829,.464204275,-.426960277,-.878702964644186,-1.12878986504554,.503136041303862,-1.8863991732249
Two-Back Task-scenes,subject024,15,1.9,6.80000000000001,1,1,7,2.9,8.10000000000001,1.20000000000001,1,7.2,3.80000000000001,1.7,1,6.3,5.70000000000002,8.40000000000001,-.130999829,.464204275,-.426960277,-1.36815291308115,-.0832283389566958,.497073216528004,-1.57478012035485
Reading Task,subject024,-11,3.1,10,1,1,1,1,1,1,1.3,4.6,3.5,1,1,8.69999999999999,5.4,1.1,-.19586954,-.014883893,.326889586,-1.59350191035978,-.224844050718631,-.828334416326416,-1.87447474860219
Reading Task,subject024,-14,7.7,10,1,1,1,1,1,8.30000000000001,1,2.4,6.2,1,1,5.70000000000001,1,1,-.19586954,-.014883893,.326889586,-1.4827729078254,-.531024538638734,-.783041808768717,-.832737666173637
Reading Task,subject024,-14,1,1,1,1,1,1,1,1,1,1,4.90000000000001,1,1,5.10000000000002,1,1,-.19586954,-.014883893,.326889586,-1.20283390494062,-1.46543293407207,-1.75283919097603,-1.26483115548934
Memory Task,subject024,13,10,3.9,1,1,1,3,10,3.30000000000001,3.9,2.5,8.20000000000001,6.60000000000001,1,10,10,10,-.036691414,.115884583,.323863964,.801325149614233,-.775063669360878,.961448991993229,-1.33186680489027
Memory Task,subject024,-13,5.60000000000002,1.7,1,1,1,3.3,8.59999999999999,3.60000000000001,1,4.4,6.4,4,1,4.1,7.59999999999999,9,-.036691414,.115884583,.323863964,-.527124669048233,-1.21343757975808,.58223202944917,-.763004343838964
Memory Task,subject024,5,7.70000000000001,8.29999999999999,1,1,8,1,10,7.20000000000001,1,1,7,1,1,7.6,8.10000000000001,9.1,-.036691414,.115884583,.323863964,-.863431909722308,-.390738451679342,1.24680688819872,-1.30939006280428
Friend Task,subject024,-9,1,10,1,1,1,1,1,1,1,1,1,1,1,10,1,1,.066229557,.061472443,.208842324,-1.7749926136246,-.586951852825017,-1.09370032032391,-2.22606912252449
Friend Task,subject024,-11,3,10,1,1,2.10000000000001,1,1,1,1,3.10000000000002,6.7,3.1,1,10,1,7.29999999999999,.066229557,.061472443,.208842324,-.355232828156189,-.672374170622857,-.611149887135635,-2.22655002147943
Friend Task,subject024,-6,1,10,1,1,1,1,1,1,1,1,8.8,1,1,10,1,6.80000000000001,.066229557,.061472443,.208842324,-.489904978123238,-1.17421201786389,-.594314051554132,-2.35530080773134
You Task,subject024,7,2.7,2.2,1,1,1,1,1,1,1,1,10,1,1,10,10,1,-.068702623,.051618542,.14160951,-.248203240626294,-.751923845857339,-1.41949299521118,-2.10750841156668
You Task,subject024,8,1,1,1,1,3,1,1,1,1,3.9,5.2,1,1,10,10,1,-.068702623,.051618542,.14160951,-1.00091861821536,-.0883246523616797,-1.58098470307364,-1.96833369373179
